# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       6.231580353053e+13       1.946694242805e-25       7.439666660503e-09       8.377185711762e+21       1.750373107763e+04       2.808875130536e-10       1.090759066885e+18       4.294765236543e-09       4.149271657499e+43       6.026533936032e+32       1.616937837808e+33       4.198487453156e-08       2.868452387215e+43       7.017724044936e+43       7.017724044936e+43       2.339241348238e+43      -1.257867705371e+52       2.031084067549e-05       1.027796632228e+00 
       6.164955933647e+13       1.988997284588e-25       7.519702194259e-09       8.199015318769e+21       1.750373107763e+04       2.839230525898e-10       1.079097307680e+18       4.341178583798e-09       3.974650796248e+43       5.835296636442e+32       1.565628274303e+33       4.198487453156e-08       2.747734423279e+43       6.722385219741e+43       6.722385219741e+43       2.240795073175e+43      -1.192048301978e+52       2.053523008119e-05       1.016565851067e+00 
       6.099043823641e+13       2.032219600481e-25       7.599737728015e-09       8.024634347431e+21       1.750373107763e+04       2.869913970741e-10       1.067560229197e+18       4.388093518113e-09       3.807378801907e+43       5.650127784345e+32       1.515946894174e+33       4.198487453156e-08       2.632096838881e+43       6.439475640996e+43       6.439475640996e+43       2.146491880263e+43      -1.129672976087e+52       2.075961948690e-05       1.005577855497e+00 
       6.033836407438e+13       2.076381168710e-25       7.683411240578e-09       7.853962202333e+21       1.750373107763e+04       2.900929010281e-10       1.056146498422e+18       4.435515460179e-09       3.647146399602e+43       5.470834812417e+32       1.467842031007e+33       4.198487453156e-08       2.521325827764e+43       6.168472227568e+43       6.168472227568e+43       2.056157409122e+43      -1.070561512300e+52       2.098400889261e-05       9.948248569560e-01 
       5.969326150864e+13       2.121502398323e-25       7.767084753141e-09       7.686920002209e+21       1.750373107763e+04       2.932279228049e-10       1.044854796594e+18       4.483449889155e-09       3.493657330200e+43       5.297231263987e+32       1.421263657897e+33       4.198487453156e-08       2.415216581641e+43       5.908873912036e+43       5.908873912036e+43       1.969624637280e+43      -1.014543125204e+52       2.120839829832e-05       9.842993964742e-01 
       5.905505600295e+13       2.167604144532e-25       7.850758265704e-09       7.523430543479e+21       1.750373107763e+04       2.963968246301e-10       1.033683819050e+18       4.531902343503e-09       3.346627802545e+43       5.129136599130e+32       1.376163335418e+33       4.198487453156e-08       2.313572911521e+43       5.660200714255e+43       5.660200714255e+43       1.886733571355e+43      -9.614559659333e+51       2.143278770403e-05       9.739943274684e-01 
       5.842367381797e+13       2.214707714116e-25       7.934431778267e-09       7.363418264569e+21       1.750373107763e+04       2.995999726440e-10       1.022632275077e+18       4.580878421481e-09       3.205785968747e+43       4.966376006913e+32       1.332494161254e+33       4.198487453156e-08       2.216206884969e+43       5.421992853899e+43       5.421992853899e+43       1.807330951239e+43      -9.111466545521e+51       2.165717710974e-05       9.639027995246e-01 
       5.779904200274e+13       2.262834877343e-25       8.021743269637e-09       7.206809210991e+21       1.750373107763e+04       3.028377369438e-10       1.011698887760e+18       4.630383781867e-09       3.070871421555e+43       4.808780223600e+32       1.290210721416e+33       4.198487453156e-08       2.122938478630e+43       5.193809900362e+43       5.193809900362e+43       1.731269966728e+43      -8.634698369110e+51       2.188156651545e-05       9.540182432287e-01 
       5.718108838624e+13       2.312007878227e-25       8.105416782200e-09       7.053531001157e+21       1.750373107763e+04       3.061104916261e-10       1.000882393839e+18       4.680424144615e-09       2.941634712878e+43       4.656185356627e+32       1.249269043017e+33       4.198487453156e-08       2.033595245378e+43       4.975229958428e+43       4.975229958428e+43       1.658409986085e+43      -8.182877646866e+51       2.210595592117e-05       9.443343559067e-01 
       5.656974156908e+13       2.362249442510e-25       8.192728273571e-09       6.903512792929e+21       1.750373107763e+04       3.094186148306e-10       9.901815435560e+17       4.731005291436e-09       2.817836892574e+43       4.508432714155e+32       1.209626548545e+33       4.198487453156e-08       1.948011995474e+43       4.765848888214e+43       4.765848888214e+43       1.588616296016e+43      -7.754698973981e+51       2.233034532689e-05       9.348450882053e-01 
